run,time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
ctrl,2021.75,293,60.0000,337.1163,136.4074,7.1793,168.5581,22.1353,0.0000,0.0000,5.0567,0.2874,0.0000,0.0000,5.0567,0.2874,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,32.7003,1.8587,0.0000,8372405012537540608.0000,130.8011,7.4348,0.0000,0.0000,0.0000,0.0000,0.0398,0.0000,0.0000,0.0000,0.8403,0.0000,25.4479,0.3154,0.0000,0.0000,1.7322,0.0715,0.0000,0.0000,168.5581,22.1353,0.0000,0.0000,5.0567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7493,0.2591,0.0000,0.0000,90.2362,4.9231,-0.0524,-0.0326,1.2527,0.0692,0.0000,0.0000,23.8004,1.3141,0.4999,1.4915
ctrl,2022.67,250,3.1000,564.5374,269.1370,14.1651,326.2153,11.1353,0.0000,0.0000,7.1497,0.1017,0.0000,0.0000,7.1497,0.1017,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,46.2345,0.6574,0.0000,8372405012537540608.0000,184.9380,2.6295,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,19.0318,0.1607,0.0000,0.0000,0.3462,0.0148,0.0000,0.0000,326.2153,11.1353,0.0000,0.0000,7.1497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0293,0.0193,0.0000,0.0000,0.0000,0.0000,9.1146,0.2084,0.0000,0.0000,173.1783,3.9603,-0.0374,-0.0483,2.6396,0.0611,0.0000,0.0000,50.1529,1.1604,0.0516,0.1211
ctrl,2023.75,293,60.0000,395.5298,116.4605,6.1295,198.0378,22.9506,0.0000,0.0000,5.9248,0.2973,0.0000,0.0000,5.9248,0.2973,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,38.3135,1.9228,0.0000,8372405012537540608.0000,153.2538,7.6911,0.0000,0.0000,0.0000,0.0000,0.1617,0.0000,0.0000,0.0000,0.8403,0.0000,13.9269,0.1356,0.0000,0.0000,0.6786,0.0290,0.0000,0.0000,198.0378,22.9506,0.0000,0.0000,5.9248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3466,0.1782,0.0000,0.0000,82.5858,3.3859,0.0010,0.0012,0.9298,0.0385,0.0000,0.0000,17.6669,0.7311,0.9874,7.0964
ctrl,2024.67,250,3.1000,697.3929,298.0276,15.6857,423.3960,11.9000,0.0000,0.0000,8.2199,0.0973,0.0000,0.0000,8.2199,0.0973,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,53.1554,0.6290,0.0000,8372405012537540608.0000,212.6217,2.5162,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,31.2709,0.4729,0.0000,0.0000,1.7569,0.0788,0.0000,0.0000,423.3960,11.9000,0.0000,0.0000,8.2199,0.0000,0.0000,0.0000,0.0000,0.0000,0.1820,0.1197,0.0000,0.0000,0.0000,0.0000,10.6444,0.2306,0.0000,0.0000,202.2437,4.3806,-0.0090,0.0112,2.6658,0.0582,0.0000,0.0000,50.6510,1.1051,1.8449,5.1907
ctrl,2025.75,293,60.0000,454.3784,130.5964,6.8735,227.1892,25.5810,0.0000,0.0000,6.8157,0.3322,0.0000,0.0000,6.8157,0.3322,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,44.0747,2.1480,0.0000,8372405012537540608.0000,176.2988,8.5922,0.0000,0.0000,0.0000,0.0000,0.2215,0.0000,0.0000,0.0000,0.8403,0.0000,14.9746,0.1776,0.0000,0.0000,0.6684,0.0276,0.0000,0.0000,227.1892,25.5810,0.0000,0.0000,6.8157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9169,0.2053,0.0000,0.0000,93.4215,3.9009,-0.0091,-0.0034,1.0198,0.0437,0.0000,0.0000,19.3753,0.8301,1.3820,9.6920
ctrl,2026.67,250,3.1000,802.0645,374.8163,19.7272,485.6319,12.8852,0.0000,0.0000,9.4930,0.1060,0.0000,0.0000,9.4930,0.1060,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,61.3879,0.6854,0.0000,8372405012537540608.0000,245.5516,2.7417,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,24.3365,0.2832,0.0000,0.0000,0.7491,0.0330,0.0000,0.0000,485.6319,12.8852,0.0000,0.0000,9.4930,0.0000,0.0000,0.0000,0.0000,0.0000,0.3064,0.0000,0.0000,0.0000,0.0000,0.0000,14.0600,0.3151,0.0000,0.0000,267.1405,5.9877,0.0173,0.0094,2.9718,0.0646,0.0000,0.0000,56.4651,1.2280,9.5536,24.4725
ctrl,2027.75,293,60.0000,247.6925,72.9482,3.8394,124.6398,16.6762,0.0000,0.0000,3.6916,0.2143,0.0000,0.0000,3.6916,0.2143,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,23.8722,1.3855,0.0000,8372405012537540608.0000,95.4889,5.5421,0.0000,0.0000,0.0000,0.0000,0.0759,0.0000,0.0000,0.0000,0.8403,0.0000,20.3677,0.1229,0.0000,0.0000,1.6905,0.0667,0.0000,0.0000,124.6398,16.6762,0.0000,0.0000,3.6916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6852,0.1547,0.0000,0.0000,51.0194,2.9394,-0.0170,0.0051,0.6147,0.0396,0.0000,0.0000,11.6795,0.7523,0.8009,2.9964
ctrl,2028.67,250,3.1000,655.9161,230.0426,12.1075,398.0405,12.3757,0.0000,0.0000,7.7363,0.1013,0.0000,0.0000,7.7363,0.1013,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,50.0279,0.6549,0.0000,8372405012537540608.0000,200.1115,2.6195,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,11.9938,0.1575,0.0000,0.0000,0.6624,0.0290,0.0000,0.0000,398.0405,12.3757,0.0000,0.0000,7.7363,0.0000,0.0000,0.0000,0.0000,0.0000,0.1285,0.0845,0.0000,0.0000,0.0000,0.0000,8.4183,0.1920,0.0000,0.0000,159.9471,3.6475,-0.0303,-0.0199,1.9442,0.0449,0.0000,0.0000,36.9401,0.8527,1.2024,3.1433
ctrl,2029.75,293,60.0000,325.1470,121.6900,6.4047,164.5344,19.5671,0.0000,0.0000,4.8184,0.2491,0.0000,0.0000,4.8184,0.2491,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,31.1588,1.6105,0.0000,8372405012537540608.0000,124.6353,6.4422,0.0000,0.0000,0.0000,0.0000,0.1455,0.0000,0.0000,0.0000,0.8403,0.0000,16.9129,0.2843,0.0000,0.0000,1.6591,0.0697,0.0000,0.0000,164.5344,19.5671,0.0000,0.0000,4.8184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2913,0.1779,0.0000,0.0000,81.5348,3.3805,0.0695,0.0019,1.1116,0.0467,0.0000,0.0000,21.1203,0.8864,0.8689,6.4041
ctrl,2030.67,250,3.1000,757.4970,325.1410,17.1127,459.7825,12.5355,0.0000,0.0000,8.9314,0.1025,0.0000,0.0000,8.9314,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,57.7566,0.6630,0.0000,8372405012537540608.0000,231.0264,2.6520,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,40.5737,0.4191,0.0000,0.0000,0.9975,0.0443,0.0000,0.0000,459.7825,12.5355,0.0000,0.0000,8.9314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0735,0.2700,0.0000,0.0000,229.3974,5.1294,0.0133,-0.0480,2.6667,0.0583,0.0000,0.0000,50.6664,1.1070,6.6865,16.9677
