run,time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
ag1,1901.50,210,36.1000,58.1032,26.1588,1.3768,25.1684,1.3214,0.0000,0.0000,30.6294,0.7302,0.0000,0.0000,30.6294,0.7302,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,0.4611,0.0110,0.0000,91271233536.0000,1.8443,0.0440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,5.5012,0.5855,0.0000,0.0000,0.1776,0.0108,0.0000,0.0000,25.1684,1.3214,0.0000,0.0000,30.6294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,0.0048,0.0000,0.0000,0.0000,0.0000,2.9762,0.0661,-6366761522305850029834167958634496.0000,0.0000,18.2825,0.4061,-0.0679,-0.0716,0.7636,0.0170,0.0000,0.0000,4.6906,0.1042,0.0169,0.0399
ag1,1904.75,289,3.1000,41.7090,15.3744,0.8092,14.5454,0.7866,0.0000,0.0000,14.3342,0.3839,0.0000,0.0000,14.3342,0.3839,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,2.5423,0.0681,0.0000,91271233536.0000,10.1692,0.2723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,22.4754,0.5850,0.0000,0.0000,0.6473,0.0356,0.0000,0.0000,14.5454,0.7866,0.0000,0.0000,14.3342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0490,0.0323,0.0000,0.0000,0.0000,0.0000,0.5021,0.0112,-5669545759460552118294179642089668608.0000,0.0000,9.5406,0.2120,-0.0131,-0.0164,0.1580,0.0035,0.0000,0.0000,3.0012,0.0667,0.0591,0.1316
ag1,1905.75,289,3.1000,82.3386,37.1674,1.9562,28.7188,1.3932,0.0000,0.0000,28.4185,0.6818,0.0000,0.0000,28.4185,0.6818,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,5.0403,0.1209,0.0000,91271233536.0000,20.1610,0.4837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,0.0015,0.0004,0.0000,0.0000,0.9796,0.0569,0.0000,0.0000,28.7188,1.3932,0.0000,0.0000,28.4185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0044,0.0029,0.0000,0.0000,0.0000,0.0000,1.0718,0.0238,-5669545759460552118294179642089668608.0000,0.0000,20.3636,0.4525,-0.0270,-0.0318,0.4442,0.0099,0.0000,0.0000,8.4402,0.1876,0.0031,0.0063
ag1,1906.50,210,36.1000,63.4525,31.0654,1.6350,27.4510,1.4149,0.0000,0.0000,33.4814,0.7831,0.0000,0.0000,33.4814,0.7831,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,0.5040,0.0118,0.0000,91271233536.0000,2.0161,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,4.4840,0.0000,0.0000,0.0000,0.1431,0.0086,0.0000,0.0000,27.4510,1.4149,0.0000,0.0000,33.4814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0334,0.0220,0.0000,0.0000,0.0000,0.0000,3.5390,0.0786,-6366761522305850029834167958634496.0000,0.0000,21.7393,0.4830,-0.0424,-0.0543,0.9092,0.0202,0.0000,0.0000,5.5848,0.1241,0.0642,0.1542
ag1,1909.75,289,3.1000,141.3333,57.3477,3.0183,49.0653,2.1050,0.0000,0.0000,48.5317,1.0298,0.0000,0.0000,48.5317,1.0298,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,8.6075,0.1826,0.0000,91271233536.0000,34.4301,0.7306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,30.9888,2.6230,0.0000,0.0000,0.8568,0.0436,0.0000,0.0000,49.0653,2.1050,0.0000,0.0000,48.5317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0124,0.0000,0.0000,0.0000,0.0000,1.8226,0.0405,-5669545759460552118294179642089668608.0000,0.0000,34.6300,0.7696,-0.0235,-0.0315,0.6050,0.0134,0.0000,0.0000,11.4942,0.2554,0.0210,0.0461
ag1,1910.75,289,3.1000,89.8763,38.0623,2.0033,31.4567,1.5110,0.0000,0.0000,30.9624,0.7368,0.0000,0.0000,30.9624,0.7368,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,5.4914,0.1307,0.0000,91271233536.0000,21.9658,0.5227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,6.0756,0.6551,0.0000,0.0000,0.5211,0.0281,0.0000,0.0000,31.4567,1.5110,0.0000,0.0000,30.9624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0479,0.0315,0.0000,0.0000,0.0000,0.0000,1.1600,0.0258,-5669545759460552118294179642089668608.0000,0.0000,22.0399,0.4898,-0.0262,-0.0094,0.4256,0.0095,0.0000,0.0000,8.0868,0.1797,0.1464,0.3354
ag1,1911.50,210,36.1000,52.9768,33.8177,1.7799,22.8165,1.2084,0.0000,0.0000,28.0491,0.6729,0.0000,0.0000,28.0491,0.6729,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,0.4222,0.0101,0.0000,91271233536.0000,1.6890,0.0405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,3.9669,0.0012,0.0000,0.0000,0.0886,0.0048,0.0000,0.0000,22.8165,1.2084,0.0000,0.0000,28.0491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088,0.0058,0.0000,0.0000,0.0000,0.0000,3.6605,0.0807,-6366761522305850029834167958634496.0000,0.0000,22.4860,0.4954,-0.0274,-0.0371,1.1428,0.0252,0.0000,0.0000,7.0201,0.1546,0.0074,0.0173
ag1,1914.75,289,3.1000,24.6103,11.9788,0.6305,8.5203,0.4972,0.0000,0.0000,8.4049,0.2428,0.0000,0.0000,8.4049,0.2428,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.4907,0.0431,0.0000,91271233536.0000,5.9628,0.1723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,8.7392,0.8825,0.0000,0.0000,0.2294,0.0121,0.0000,0.0000,8.5203,0.4972,0.0000,0.0000,8.4049,0.0000,0.0000,0.0000,0.0000,0.0000,0.1273,0.0838,0.0000,0.0000,0.0000,0.0000,0.3489,0.0078,-5669545759460552118294179642089668608.0000,0.0000,6.6282,0.1473,0.0693,0.0053,0.1403,0.0031,0.0000,0.0000,2.6651,0.0592,0.0926,0.7556
ag1,1915.75,289,3.1000,251.0606,67.7708,3.5669,87.7209,3.1350,0.0000,0.0000,86.5700,1.5314,0.0000,0.0000,86.5700,1.5314,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,15.3539,0.2716,0.0000,91271233536.0000,61.4157,1.0864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,5.3011,0.4152,0.0000,0.0000,0.2470,0.0145,0.0000,0.0000,87.7209,3.1350,0.0000,0.0000,86.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0608,0.0400,0.0000,0.0000,0.0000,0.0000,2.3694,0.0527,-5669545759460552118294179642089668608.0000,0.0000,45.0186,1.0004,-0.0127,-0.0055,0.6134,0.0136,0.0000,0.0000,11.6553,0.2590,0.3952,2.5400
ag1,1916.50,210,36.1000,202.6799,63.2867,3.3309,87.7563,3.0969,0.0000,0.0000,106.8789,1.7122,0.0000,0.0000,106.8789,1.7122,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.6089,0.0258,0.0000,91271233536.0000,6.4357,0.1031,0.0000,0.0000,0.0000,0.0000,0.6988,0.9314,0.0000,0.0000,0.8403,0.0000,11.3500,0.3144,0.0000,0.0000,0.1004,0.0057,0.0000,0.0000,87.7563,3.0969,0.0000,0.0000,106.8789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.0044,0.0000,0.0000,0.0000,0.0000,7.7352,0.1719,-6366761522305850029834167958634496.0000,0.0000,47.5165,1.0559,-0.0700,-0.0786,1.4146,0.0314,0.0000,0.0000,8.6897,0.1931,2.3115,0.0001
